PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
    1251    5214  UDB*       .00    5.81000     .00000     .00000        .00000
   -1251   -5214  AUDB*      .00    5.81000     .00000     .00000        .00000
    2251    5114  DDB*     -1.00    5.81000     .00000     .00000        .00000
   -2251   -5114  ADDB*     1.00    5.81000     .00000     .00000        .00000
    1351    5324  USB*       .00    5.97000     .00000     .00000        .00000
   -1351   -5324  AUSB*      .00    5.97000     .00000     .00000        .00000
    2351    5314  DSB*     -1.00    5.97000     .00000     .00000        .00000
   -2351   -5314  ADSB*     1.00    5.97000     .00000     .00000        .00000
    3351    5334  SSB*     -1.00    6.13000     .00000     .00000        .00000
   -3351   -5334  ASSB*     1.00    6.13000     .00000     .00000        .00000
    1451    5424  UCB*      1.00    6.81000     .00000     .00000        .00000
   -1451   -5424  AUCB*    -1.00    6.81000     .00000     .00000        .00000
    2451    5414  DCB*       .00    6.81000     .00000     .00000        .00000
   -2451   -5414  ADCB*      .00    6.81000     .00000     .00000        .00000
    3451    5434  SCB*       .00    7.01000     .00000     .00000        .00000
   -3451   -5434  ASCB*      .00    7.01000     .00000     .00000        .00000
    4451    5444  CCB*      1.00    8.11000     .00000     .00000        .00000
   -4451   -5444  ACCB*    -1.00    8.11000     .00000     .00000        .00000
    1551    5524  UBB*       .00   10.11000     .00000     .00000        .00000
   -1551   -5524  AUBB*      .00   10.11000     .00000     .00000        .00000
    2551    5514  DBB*     -1.00   10.11000     .00000     .00000        .00000
   -2551   -5514  ADBB*     1.00   10.11000     .00000     .00000        .00000
    3551    5534  SBB*     -1.00   10.31000     .00000     .00000        .00000
   -3551   -5534  ASBB*     1.00   10.31000     .00000     .00000        .00000
    4551    5544  CBB*       .00   11.41000     .00000     .00000        .00000
   -4551   -5544  ACBB*      .00   11.41000     .00000     .00000        .00000
    5551    5554  BBB*     -1.00   14.71000     .00000     .00000        .00000
   -5551   -5554  ABBB*     1.00   14.71000     .00000     .00000        .00000
    1161    6224  UTT*      2.00                .00000     .00000        .00000
   -1161   -6224  AUTT*    -2.00                .00000     .00000        .00000
    1261    6214  UDT*      1.00                .00000     .00000        .00000
   -1261   -6214  AUDT*    -1.00                .00000     .00000        .00000
    2261    6114  DDT*       .00                .00000     .00000        .00000
   -2261   -6114  ADDT*      .00                .00000     .00000        .00000
    1361    6324  UST*      1.00                .00000     .00000        .00000
   -1361   -6324  AUST*    -1.00                .00000     .00000        .00000
    2361    6314  DST*       .00                .00000     .00000        .00000
   -2361   -6314  ADST*      .00                .00000     .00000        .00000
    3361    6334  SST*       .00                .00000     .00000        .00000
   -3361   -6334  ASST*      .00                .00000     .00000        .00000
    1461    6424  UCT*      2.00                .00000     .00000        .00000
   -1461   -6424  AUCT*    -2.00                .00000     .00000        .00000
    2461    6414  DCT*      1.00                .00000     .00000        .00000
   -2461   -6414  ADCT*    -1.00                .00000     .00000        .00000
    3461    6434  SCT*      1.00                .00000     .00000        .00000
   -3461   -6434  ASCT*    -1.00                .00000     .00000        .00000
    4461    6444  CCT*      2.00                .00000     .00000        .00000
   -4461   -6444  ACCT*    -2.00                .00000     .00000        .00000
    1561    6524  UBT*      1.00                .00000     .00000        .00000
   -1561   -6524  AUBT*    -1.00                .00000     .00000        .00000
    2561    6514  DBT*       .00                .00000     .00000        .00000
   -2561   -6514  ADBT*      .00                .00000     .00000        .00000
    3561    6534  SBT*       .00                .00000     .00000        .00000
   -3561   -6534  ASBT*      .00                .00000     .00000        .00000
    4561    6544  CBT*      1.00                .00000     .00000        .00000
   -4561   -6544  ACBT*    -1.00                .00000     .00000        .00000
    5561    6554  BBT*       .00                .00000     .00000        .00000
   -5561   -6554  ABBT*      .00                .00000     .00000        .00000
    1661    6624  UTT*      2.00                .00000     .00000        .00000
   -1661   -6624  AUTT*    -2.00                .00000     .00000        .00000
    2661    6614  DTT*      1.00                .00000     .00000        .00000
   -2661   -6614  ADTT*    -1.00                .00000     .00000        .00000
    3661    6634  STT*      1.00                .00000     .00000        .00000
   -3661   -6634  ASTT*    -1.00                .00000     .00000        .00000
    4661    6644  CTT*      2.00                .00000     .00000        .00000
   -4661   -6644  CTT*     -2.00                .00000     .00000        .00000
    5661    6654  BTT*      1.00                .00000     .00000        .00000
   -5661   -6654  ABTT*    -1.00                .00000     .00000        .00000
    6661    6664  TTT*      2.00                .00000     .00000        .00000
   -6661   -6664  ATTT*    -2.00                .00000     .00000        .00000
 
    1200    2101  UD0.       .33                .00000     .00000        .00000
   -1200   -2101  AUD0.     -.33                .00000     .00000        .00000
    1300    3201  US0.       .33                .00000     .00000        .00000
   -1300   -3201  AUS0.     -.33                .00000     .00000        .00000
